,FULL NAME,TEAM,POS,AGE,PPG,APG,MPG,RPG,SPG,BPG,season,Salary
660,George Hill,Mil,G,32.94,6.8,2.1,20.4,2.6,0.83,0.15,2018-2019,19000000.0
661,Austin Rivers,Hou,G,26.69,8.7,2.3,28.6,1.9,0.62,0.28,2018-2019,922943.0
662,Tim Frazier,Nor,G,28.44,5.0,4.4,19.3,2.9,0.53,0.09,2018-2019,196553.0
663,Kenrich Williams,Nor,G-F,24.36,6.1,1.8,23.5,4.8,0.96,0.41,2018-2019,838464.0
664,Devonte' Graham,Cha,G,24.13,4.7,2.6,14.7,1.4,0.5,0.04,2018-2019,988464.0
665,Dragan Bender,Pho,F,21.4,5.0,1.2,18.0,4.0,0.39,0.5,2018-2019,4661280.0
666,Luke Kornet,Nyk,C-F,23.74,7.0,1.2,17.0,2.9,0.59,0.91,2018-2019,1619260.0
667,Kris Dunn,Chi,G,25.07,11.3,6.0,30.2,4.1,1.48,0.46,2018-2019,4221000.0
668,Tim Hardaway Jr.,Nyk,G,27.07,19.1,2.7,32.6,3.5,0.91,0.13,2018-2019,19200127.0
669,Rajon Rondo,Lal,G,33.13,9.2,8.0,29.8,5.3,1.2,0.15,2018-2019,9000000.0
670,Lance Thomas,Nyk,F,30.96,4.5,0.6,17.0,2.5,0.37,0.15,2018-2019,7119650.0
671,Omari Spellman,Atl,F,21.72,5.9,1.0,17.5,4.2,0.54,0.57,2018-2019,1620480.0
672,Rodney Hood,Cle,G,26.47,12.2,2.0,27.4,2.5,0.84,0.11,2018-2019,3472887.0
673,Kyle O'Quinn,Ind,C,29.04,3.5,1.2,8.2,2.6,0.2,0.56,2018-2019,4449000.0
674,Enes Kanter,Nyk,C,26.89,14.0,1.9,25.6,10.5,0.41,0.41,2018-2019,487109.0
675,Reggie Bullock,Det,F,28.07,12.1,2.5,30.8,2.8,0.55,0.11,2018-2019,2500000.0
676,Chandler Hutchison,Chi,F,22.96,5.2,0.8,20.3,4.2,0.52,0.14,2018-2019,1990520.0
677,Solomon Hill,Nor,F,28.07,4.3,1.3,20.0,3.0,0.52,0.23,2018-2019,12252928.0
678,Tyler Johnson,Mia,G,26.93,10.8,2.5,25.5,2.7,0.91,0.48,2018-2019,19356932.0
679,Wesley Matthews,Dal,G-F,32.49,13.1,2.3,29.8,2.3,0.77,0.25,2018-2019,512746.0
680,Wendell Carter Jr.,Chi,F,19.99,10.3,1.8,25.2,7.0,0.59,1.34,2018-2019,4441200.0
681,Jonah Bolden,Phi,F,23.27,4.7,0.9,14.5,3.8,0.39,0.89,2018-2019,1690000.0
682,Dion Waiters,Mia,G,27.34,12.0,2.8,25.9,2.7,0.66,0.2,2018-2019,11550000.0
683,Justin Holiday,Mem,G-F,30.02,9.5,1.4,29.1,3.5,1.23,0.34,2018-2019,4384616.0
684,Nik Stauskas,Por,G,25.51,6.1,1.4,15.3,1.8,0.32,0.09,2018-2019,504200.0
685,Allen Crabbe,Bro,G-F,27.0,9.6,1.1,26.4,3.4,0.53,0.3,2018-2019,18500000.0
686,Kyle Anderson,Mem,F,25.56,8.0,3.0,29.8,5.9,1.26,0.86,2018-2019,8641000.0
687,Wayne Selden,Chi,G-F,24.53,8.0,1.7,22.9,3.2,0.53,0.16,2018-2019,1544951.0
688,T.J. Warren,Pho,F,25.6,18.0,1.5,31.6,4.0,1.19,0.67,2018-2019,11750000.0
689,Trevor Ariza,Was,F,33.78,14.1,3.8,34.1,5.2,1.23,0.3,2018-2019,15000000.0
690,Dwayne Bacon,Cha,G-F,23.61,7.3,1.1,17.6,2.1,0.28,0.12,2018-2019,1378242.0
691,Frank Ntilikina,Nyk,G,20.7,5.7,2.8,21.0,2.0,0.7,0.33,2018-2019,4155720.0
692,Moritz Wagner,Lal,C,21.96,4.8,0.6,10.4,2.0,0.23,0.3,2018-2019,1762080.0
693,Will Barton,Den,G,28.26,11.5,2.9,27.7,4.6,0.42,0.51,2018-2019,11830358.0
694,Tristan Thompson,Cle,C-F,28.08,10.9,2.0,27.9,10.2,0.63,0.37,2018-2019,17469565.0
695,Jarell Martin,Orl,F,24.88,2.7,0.4,7.8,1.7,0.07,0.19,2018-2019,2416222.0
696,Kosta Koufos,Sac,C,30.13,3.7,0.9,11.9,4.2,0.36,0.43,2018-2019,8739500.0
697,Dante Exum,Uta,G,23.75,6.9,2.6,15.8,1.6,0.33,0.12,2018-2019,9600000.0
698,Jeff Teague,Min,G,30.83,12.1,8.2,30.1,2.5,1.05,0.43,2018-2019,19000000.0
699,Joakim Noah,Mem,C,34.12,7.1,2.1,16.5,5.7,0.48,0.74,2018-2019,1093858.0
700,Ryan Broekhoff,Dal,G-F,28.63,4.0,0.5,10.8,1.5,0.14,0.1,2018-2019,838464.0
701,Iman Shumpert,Sac,G,28.79,8.9,2.2,26.2,3.1,1.12,0.48,2018-2019,11011234.0
702,Elfrid Payton,Nor,G,25.13,10.6,7.6,29.8,5.3,1.05,0.4,2018-2019,3000000.0
703,Otto Porter Jr.,Was,F,25.86,12.6,2.0,29.1,5.7,1.54,0.54,2018-2019,26011913.0
704,Jon Leuer,Det,F,29.91,3.8,0.3,9.8,2.4,0.29,0.1,2018-2019,10002681.0
705,Jonathon Simmons,Orl,F,29.57,6.9,2.3,20.6,2.5,0.41,0.34,2018-2019,6000000.0
706,Guerschon Yabusele,Bos,F,23.32,2.3,0.4,6.1,1.3,0.2,0.17,2018-2019,2667600.0
707,JaMychal Green,Mem,F,28.81,9.8,0.9,21.9,6.1,0.8,0.63,2018-2019,7666667.0
708,James Ennis III,Hou,F,28.78,7.4,0.7,23.7,2.9,0.95,0.4,2018-2019,1621415.0
709,Kelly Oubre Jr.,Pho,F,23.34,16.9,1.6,29.5,4.9,1.45,0.98,2018-2019,3208630.0
710,Caris LeVert,Bro,G,24.63,13.7,3.9,26.6,3.8,1.05,0.35,2018-2019,1702800.0
711,Jevon Carter,Mem,G,23.57,4.4,1.8,14.8,1.7,0.67,0.26,2018-2019,838464.0
712,Isaiah Briscoe,Orl,G,22.99,3.5,2.2,14.3,1.9,0.28,0.05,2018-2019,838464.0
713,Jabari Parker,Chi,F,24.07,14.3,2.2,26.7,6.2,0.62,0.36,2018-2019,20000000.0
714,Danuel House Jr.,Hou,G-F,25.84,9.4,1.0,25.1,3.6,0.54,0.28,2018-2019,247827.0
715,Sam Dekker,Was,F,24.93,6.1,1.0,16.3,3.0,0.74,0.18,2018-2019,2760095.0
716,Greg Monroe,Tor,C,28.85,4.8,0.4,11.1,4.1,0.34,0.21,2018-2019,59820.0
717,J.J. Barea,Dal,G,34.79,10.9,5.6,19.8,2.5,0.58,0.0,2018-2019,3710850.0
718,Grayson Allen,Uta,G,23.51,5.6,0.7,11.0,0.6,0.13,0.16,2018-2019,2074320.0
719,Raul Neto,Uta,G,26.89,5.3,2.5,12.8,1.7,0.38,0.11,2018-2019,2150000.0
720,Omri Casspi,Mem,F,30.8,6.3,0.7,14.5,3.2,0.56,0.25,2018-2019,1512601.0
721,Brad Wanamaker,Bos,G,29.71,3.9,1.6,9.5,1.1,0.33,0.06,2018-2019,838464.0
722,Wilson Chandler,Phi,F,31.92,6.7,2.0,26.4,4.6,0.61,0.5,2018-2019,12800562.0
723,Salah Mejri,Dal,C,32.82,3.9,1.0,11.1,3.6,0.28,0.75,2018-2019,512746.0
724,Channing Frye,Cle,C-F,35.9,3.6,0.6,9.5,1.4,0.17,0.14,2018-2019,1512601.0
725,Matthew Dellavedova,Cle,G,28.59,7.3,4.2,19.9,1.9,0.33,0.06,2018-2019,9607500.0
726,Goran Dragic,Mia,G,32.93,13.7,4.8,27.5,3.1,0.83,0.14,2018-2019,18109175.0
727,Victor Oladipo,Ind,G,26.93,18.8,5.2,31.9,5.6,1.67,0.31,2018-2019,21000000.0
728,Thon Maker,Mil,F,22.12,4.7,0.5,11.7,2.7,0.29,0.51,2018-2019,2799720.0
729,Treveon Graham,Bro,F,25.45,5.3,1.0,20.4,3.0,0.37,0.2,2018-2019,1512601.0
730,Markieff Morris,Was,F,29.61,11.5,1.8,26.0,5.1,0.71,0.59,2018-2019,427288.0
731,Boban Marjanovic,Lac,C,30.65,7.1,0.6,11.1,4.5,0.29,0.5,2018-2019,7000000.0
732,Jaylen Adams,Atl,G,22.93,3.2,1.9,12.6,1.8,0.38,0.15,2018-2019,270014.0
733,Bruno Caboclo,Mem,F,23.55,8.3,1.5,23.5,4.6,0.41,0.97,2018-2019,522151.0
734,Alec Burks,Cle,G,27.73,11.6,2.9,28.8,5.5,0.74,0.47,2018-2019,11536515.0
735,Ian Mahinmi,Was,C,32.43,4.1,0.7,14.6,3.8,0.74,0.47,2018-2019,15944154.0
736,Jerryd Bayless,Min,G,30.64,6.1,3.5,19.3,1.9,0.53,0.06,2018-2019,8575916.0
737,Ivica Zubac,Lal,C,22.07,8.5,0.8,15.6,4.9,0.15,0.82,2018-2019,1544951.0
738,Raymond Felton,Okc,G,34.79,4.3,1.6,11.5,1.0,0.3,0.18,2018-2019,1512601.0
739,Trey Burke,Nyk,G,26.41,11.8,2.8,20.9,1.8,0.64,0.15,2018-2019,1795015.0
740,Jerome Robinson,Lac,G,22.13,3.4,0.6,9.7,1.2,0.33,0.09,2018-2019,3046200.0
741,John Wall,Was,G,28.6,20.7,8.7,34.5,3.6,1.53,0.91,2018-2019,19169800.0
742,Nikola Mirotic,Nor,F,28.16,16.7,1.1,28.9,8.3,0.66,0.78,2018-2019,12500000.0
743,Deonte Burton,Okc,G,25.19,2.6,0.3,7.5,0.9,0.19,0.25,2018-2019,151587.0
744,Dennis Smith Jr.,Dal,G,21.38,12.9,4.3,28.4,3.0,1.25,0.34,2018-2019,3819960.0
745,Robert Williams III,Bos,C-F,21.48,2.6,0.2,9.1,2.6,0.29,1.29,2018-2019,1654440.0
746,Cameron Payne,Chi,G,24.67,5.7,2.7,17.3,1.7,0.65,0.19,2018-2019,3263294.0
747,Alex Abrines,Okc,G,25.69,5.3,0.6,19.0,1.5,0.55,0.19,2018-2019,5455236.0
748,DeMarcus Cousins,Gol,C,28.66,16.3,3.6,25.7,8.2,1.33,1.47,2018-2019,5337000.0
749,Keita Bates-Diop,Min,F,23.21,5.0,0.6,16.8,2.8,0.6,0.47,2018-2019,838464.0
750,Jonas Valanciunas,Tor,C,26.93,12.8,1.0,18.8,7.2,0.4,0.77,2018-2019,16539326.0
751,Jacob Evans,Gol,G,21.81,1.3,0.8,6.8,0.8,0.17,0.1,2018-2019,1644240.0
752,Timothe Luwawu-Cabarrot,Chi,G-F,23.92,6.8,0.8,18.8,2.7,0.52,0.24,2018-2019,1544951.0
753,Chimezie Metu,San,F,22.06,1.8,0.4,5.0,1.2,0.21,0.07,2018-2019,838464.0
754,MarShon Brooks,Mem,G,30.21,6.6,0.9,13.3,1.6,0.31,0.14,2018-2019,1656092.0
755,Bobby Portis,Was,F,24.16,14.3,1.5,27.4,8.6,0.86,0.46,2018-2019,2494346.0
756,Chris Boucher,Tor,F,26.25,3.3,0.1,5.8,2.0,0.21,0.86,2018-2019,457418.0
757,Isaiah Hartenstein,Hou,C-F,20.93,1.9,0.5,7.9,1.7,0.25,0.43,2018-2019,838464.0
758,Wayne Ellington,Det,G,31.37,12.0,1.5,27.3,2.1,1.07,0.11,2018-2019,2383076.0
759,Pau Gasol,San,C-F,38.76,4.2,1.9,12.2,4.7,0.19,0.52,2018-2019,333285.0
760,Jordan McRae,Was,G,28.04,5.9,1.1,12.3,1.5,0.48,0.22,2018-2019,17092.0
761,Brandon Knight,Cle,G,27.36,8.5,2.3,22.9,1.9,0.7,0.07,2018-2019,14631250.0
762,Tyler Dorsey,Atl,G,23.15,3.3,0.6,9.3,1.6,0.26,0.04,2018-2019,1378242.0
763,Donte DiVincenzo,Mil,G,22.19,4.9,1.1,15.2,2.4,0.48,0.22,2018-2019,2481000.0
764,Marquese Chriss,Cle,F,21.78,5.7,0.6,14.6,4.2,0.56,0.26,2018-2019,3206160.0
765,Khyri Thomas,Det,G,22.92,2.3,0.3,7.5,0.8,0.27,0.19,2018-2019,838464.0
766,Wesley Johnson,Nor,G-F,31.75,3.7,0.6,14.5,2.1,0.46,0.27,2018-2019,6134520.0
767,Patrick McCaw,Tor,G,23.46,2.7,1.0,13.2,1.7,0.81,0.12,2018-2019,777665.0
768,Michael Beasley,Lal,F,30.25,7.0,1.0,10.7,2.3,0.35,0.38,2018-2019,3500000.0
769,Chandler Parsons,Mem,F,30.46,7.5,1.7,19.8,2.8,0.76,0.2,2018-2019,24107258.0
770,Tyler Lydon,Den,F,23.0,0.9,0.2,3.7,0.7,0.08,0.0,2018-2019,1874640.0
771,Kenneth Faried,Hou,C-F,29.39,12.9,0.7,24.4,8.3,0.6,0.76,2018-2019,683661.0
772,Corey Brewer,Sac,G-F,33.1,4.1,1.2,14.7,2.5,0.83,0.21,2018-2019,2000000.0
773,Damian Jones,Gol,C,23.78,5.4,1.2,17.1,3.1,0.5,1.04,2018-2019,1544951.0
774,John Jenkins,Nyk,G,28.1,5.2,1.0,14.5,1.6,0.0,0.09,2018-2019,486520.0
775,Robert Covington,Min,F,28.32,14.5,1.5,34.7,5.7,2.27,1.05,2018-2019,10464092.0
776,Luol Deng,Min,F,33.99,7.1,0.8,17.8,3.3,0.68,0.36,2018-2019,1512601.0
777,Isaac Bonga,Lal,G,19.42,0.9,0.7,5.5,1.1,0.41,0.18,2018-2019,1000000.0
778,Malachi Richardson,Tor,G,23.26,1.4,0.0,4.7,0.6,0.05,0.0,2018-2019,1569360.0
779,Kevin Love,Cle,C-F,30.59,17.0,2.2,27.2,10.9,0.27,0.27,2018-2019,24119025.0
780,Courtney Lee,Dal,G,33.52,3.6,1.0,12.2,1.2,0.59,0.05,2018-2019,12253780.0
781,Troy Williams,Sac,F,24.28,5.3,0.5,14.9,2.8,0.48,0.38,2018-2019,1512601.0
782,Alex Poythress,Atl,F,25.6,5.1,0.8,14.5,3.6,0.19,0.48,2018-2019,1544951.0
783,Anfernee Simons,Por,G,19.84,3.8,0.7,7.0,0.7,0.05,0.0,2018-2019,1760520.0
784,Cameron Reynolds,Min,G,24.17,5.0,0.7,13.7,1.6,0.32,0.11,2018-2019,108953.0
785,Daniel Hamilton,Atl,G-F,23.67,3.0,1.2,10.7,2.5,0.32,0.05,2018-2019,1349383.0
786,Markelle Fultz,Phi,G,20.87,8.2,3.1,22.5,3.6,0.95,0.26,2018-2019,8339880.0
787,Isaiah Canaan,Pho,G,27.89,7.5,3.3,26.4,2.6,0.63,0.0,2018-2019,1512601.0
788,Ben McLemore,Sac,G,26.16,3.9,0.2,8.3,0.9,0.32,0.16,2018-2019,5460000.0
789,Caleb Swanigan,Por,F,21.98,1.9,0.4,8.1,2.9,0.22,0.0,2018-2019,1740000.0
790,Miles Plumlee,Atl,C,30.61,4.4,0.9,9.6,2.2,0.33,0.22,2018-2019,12500000.0
791,Dillon Brooks,Mem,G-F,23.22,7.5,0.9,18.3,1.7,0.56,0.22,2018-2019,1378242.0
792,Theo Pinson,Bro,G-F,23.43,4.5,1.2,11.7,2.0,0.33,0.0,2018-2019,4737.0
793,Henry Ellenson,Nyk,F,22.24,6.0,0.9,13.8,3.4,0.41,0.12,2018-2019,341831.0
794,Lonnie Walker IV,San,G,20.32,2.6,0.5,6.9,1.0,0.41,0.12,2018-2019,2357160.0
795,Wade Baldwin IV,Por,G,23.03,1.9,0.8,5.9,0.9,0.06,0.13,2018-2019,1544951.0
796,Brandon Goodwin,Den,G,23.52,1.4,0.9,3.6,0.2,0.0,0.0,2018-2019,630032.0
797,Michael Carter-Williams,Hou,G,27.5,4.3,1.3,9.0,0.8,0.56,0.38,2018-2019,59820.0
798,Jarred Vanderbilt,Den,F,20.02,1.5,0.2,4.3,1.4,0.38,0.06,2018-2019,838464.0
799,Gary Trent Jr.,Por,G,20.23,2.7,0.3,7.4,0.7,0.07,0.13,2018-2019,838464.0
800,Ryan Anderson,Pho,F,30.93,3.7,1.1,18.5,3.0,0.2,0.07,2018-2019,20421546.0
801,Milos Teodosic,Lac,G,32.06,3.2,2.1,10.0,1.0,0.2,0.07,2018-2019,6300000.0
802,Duncan Robinson,Mia,F,24.97,3.3,0.3,10.7,1.3,0.33,0.0,2018-2019,9474.0
803,Alize Johnson,Ind,F,22.97,0.9,0.1,4.6,1.4,0.07,0.21,2018-2019,838464.0
804,John Henson,Mil,F,28.29,5.6,1.0,13.5,5.1,0.5,0.79,2018-2019,11327466.0
805,Ray Spalding,Pho,F,22.09,4.2,0.4,11.3,3.7,0.69,0.62,2018-2019,184746.0
806,Skal Labissiere,Sac,F,23.06,2.8,0.5,8.7,1.8,0.15,0.23,2018-2019,1544951.0
807,Christian Wood,Mil,F,23.54,2.8,0.2,4.7,1.5,0.0,0.0,2018-2019,1512601.0
808,Isaiah Thomas,Den,G,30.17,8.1,1.9,15.1,1.1,0.5,0.08,2018-2019,1512601.0
809,Jason Smith,Was,C-F,33.11,3.7,1.0,10.8,3.1,0.08,0.42,2018-2019,5450000.0
810,Dairis Bertans,Nor,G,29.59,2.8,0.8,13.9,0.8,0.08,0.0,2018-2019,194220.0
811,JR Smith,Cle,G-F,33.59,6.7,1.9,20.2,1.6,1.0,0.27,2018-2019,14720000.0
812,Ron Baker,Nyk,G,26.03,1.3,1.2,9.7,0.7,0.36,0.0,2018-2019,948580.0
813,Andrew Bogut,Gol,C,34.37,3.5,1.0,12.2,5.0,0.27,0.73,2018-2019,307648.0
814,Malcolm Miller,Tor,F,26.1,3.5,0.1,6.7,0.5,0.1,0.1,2018-2019,457418.0
815,Andrew Harrison,Cle,G,24.47,4.3,1.7,14.4,1.5,0.4,0.2,2018-2019,1544951.0
816,Udonis Haslem,Mia,F,38.84,2.5,0.2,7.5,2.7,0.0,0.0,2018-2019,1512601.0
817,Melvin Frazier Jr.,Orl,G-F,22.61,1.5,0.1,4.4,0.5,0.1,0.0,2018-2019,1050000.0
818,Carmelo Anthony,Hou,F,34.87,13.4,0.5,29.4,5.4,0.4,0.7,2018-2019,1512601.0
819,Dzanan Musa,Bro,G-F,19.93,2.1,0.2,4.4,0.6,0.22,0.0,2018-2019,1632240.0
820,Dwight Howard,Was,C,33.34,12.8,0.4,25.5,9.2,0.78,0.44,2018-2019,5337000.0
821,Deyonta Davis,Atl,C-F,22.35,4.0,0.6,13.2,3.9,0.33,0.56,2018-2019,25367.0
822,Jodie Meeks,Tor,G,31.64,6.4,1.0,13.0,1.5,0.13,0.13,2018-2019,3454500.0
823,Jawun Evans,Pho,G,22.71,0.9,1.4,9.1,1.7,0.43,0.0,2018-2019,1378242.0
824,Chris Chiozza,Hou,G,23.39,0.9,0.6,4.6,0.6,0.14,0.14,2018-2019,90005.0
825,Jemerrio Jones,Lal,F,24.01,4.5,2.2,23.9,8.2,1.17,1.0,2018-2019,52108.0
826,BJ Johnson,Atl,F,23.31,3.5,0.0,7.2,1.3,0.33,0.0,2018-2019,42634.0
827,Jimmer Fredette,Pho,G,30.12,3.7,1.3,10.8,1.2,0.5,0.0,2018-2019,208509.0
828,Zhaire Smith,Phi,G,19.85,6.7,1.7,18.4,2.2,0.33,0.33,2018-2019,2526840.0
829,Alan Williams,Bro,C-F,26.2,3.6,0.6,5.1,3.8,0.2,0.0,2018-2019,5000000.0
830,Isaac Humphries,Atl,C,21.26,3.0,0.0,11.3,2.2,0.2,0.0,2018-2019,47371.0
831,Tyler Zeller,Mem,C,29.23,11.5,0.8,20.6,4.5,0.25,0.75,2018-2019,59820.0
832,Mitchell Creek,Bro,F,26.95,3.8,1.3,8.9,2.5,0.25,0.0,2018-2019,47371.0
833,Jaylen Morris,Mil,G,23.56,2.5,1.0,7.1,1.3,0.5,0.0,2018-2019,1378242.0
834,Luc Mbah a Moute,Lac,F,32.59,5.0,0.5,15.3,1.8,0.25,0.25,2018-2019,4320500.0
835,Nick Young,Den,G-F,33.86,2.3,0.5,9.3,0.3,0.0,0.25,2018-2019,1042584.0
836,JaKarr Sampson,Chi,F,26.06,20.0,1.0,31.8,8.0,1.0,0.75,2018-2019,85458.0
837,Eric Moreland,Tor,C-F,27.3,1.8,1.0,9.6,4.3,0.25,0.25,2018-2019,17092.0
838,Tony Bradley,Uta,C,21.17,5.7,0.3,12.0,5.0,0.67,0.67,2018-2019,1679520.0
839,Justin Patton,Phi,C,21.83,1.7,1.0,6.9,2.0,0.67,0.0,2018-2019,2667600.0
840,Okaro White,Was,F,26.66,0.0,0.0,2.1,0.7,0.0,0.0,2018-2019,1187862.0
841,Ike Anigbogu,Ind,C,20.47,0.0,0.3,2.1,1.0,0.0,0.33,2018-2019,1378242.0
842,Donatas Motiejunas,San,C-F,28.56,2.0,0.3,4.3,1.0,0.0,0.33,2018-2019,59820.0
843,Yante Maten,Mia,F,22.66,1.0,0.0,6.5,1.5,0.5,0.0,2018-2019,18948.0
844,Zhou Qi,Hou,C-F,23.23,2.0,0.0,1.0,0.0,0.0,0.0,2018-2019,1378242.0
845,Maxi Kleber,Dal,F,28.54,9.1,1.2,25.5,5.3,0.34,1.14,2019-2020,8000000.0
846,Monte Morris,Den,G,25.13,9.0,3.5,22.4,1.9,0.75,0.23,2019-2020,1588231.0
847,Justin Holiday,Ind,G-F,31.36,8.3,1.3,25.0,3.3,1.19,0.63,2019-2020,4767000.0
848,Delon Wright,Dal,G,28.3,6.9,3.3,21.5,3.8,1.15,0.3,2019-2020,9473684.0
849,Duncan Robinson,Mia,F,26.32,13.5,1.4,29.7,3.2,0.48,0.26,2019-2020,1416852.0
850,Nikola Jokic,Den,C,25.49,19.9,7.0,32.0,9.7,1.16,0.6,2019-2020,27504630.0
851,Mikal Bridges,Pho,F,23.96,9.1,1.8,28.0,4.0,1.44,0.63,2019-2020,4161000.0
852,Dillon Brooks,Mem,G-F,24.56,16.2,2.1,28.9,3.3,0.86,0.37,2019-2020,1618520.0
853,Nemanja Bjelica,Sac,F,32.27,11.5,2.8,27.9,6.3,0.85,0.56,2019-2020,6825000.0
854,Furkan Korkmaz,Phi,G-F,23.06,9.8,1.1,21.7,2.3,0.57,0.22,2019-2020,1620564.0
855,Harrison Barnes,Sac,F,28.21,14.5,2.2,34.5,4.9,0.6,0.17,2019-2020,24147727.0
856,Cory Joseph,Sac,G,28.99,6.4,3.5,24.4,2.6,0.74,0.29,2019-2020,12000000.0
857,Bam Adebayo,Mia,C-F,23.08,15.9,5.1,33.6,10.2,1.14,1.29,2019-2020,3454080.0
858,Joe Ingles,Uta,G-F,32.87,9.8,5.2,29.7,3.9,0.9,0.15,2019-2020,11954546.0
859,Terence Davis,Tor,G,23.25,7.5,1.6,16.8,3.3,0.54,0.19,2019-2020,898310.0
860,Ivica Zubac,Lac,C,23.41,8.3,1.1,18.4,7.6,0.22,0.92,2019-2020,6481482.0
861,Buddy Hield,Sac,G,26.66,19.2,3.0,30.8,4.6,0.93,0.24,2019-2020,4861208.0
862,P.J. Tucker,Hou,F,35.28,6.9,1.6,34.3,6.6,1.08,0.53,2019-2020,8349039.0
863,Tobias Harris,Phi,F,28.08,19.6,3.2,34.3,6.9,0.72,0.56,2019-2020,32742000.0
864,Markelle Fultz,Orl,G,22.21,12.1,5.1,27.7,3.3,1.25,0.17,2019-2020,9745200.0
865,Royce O'Neale,Uta,F,27.2,6.3,2.5,28.9,5.5,0.83,0.45,2019-2020,1618520.0
866,Ben McLemore,Hou,G,27.51,10.1,0.8,22.8,2.2,0.65,0.23,2019-2020,2028594.0
867,Brad Wanamaker,Bos,G,31.06,6.9,2.5,19.3,2.0,0.85,0.21,2019-2020,1445697.0
868,Tim Hardaway Jr.,Dal,G,28.41,15.8,1.9,29.5,3.3,0.61,0.07,2019-2020,20025127.0
869,Jerami Grant,Den,F,26.43,12.0,1.2,26.6,3.5,0.7,0.8,2019-2020,9346153.0
870,Dorian Finney-Smith,Dal,F,27.28,9.5,1.6,29.9,5.7,0.63,0.55,2019-2020,4000000.0
871,T.J. McConnell,Ind,G,28.39,6.5,5.0,18.7,2.7,0.8,0.15,2019-2020,3500000.0
872,Shai Gilgeous-Alexander,Okc,G-F,22.09,19.0,3.3,34.7,5.9,1.13,0.67,2019-2020,3952920.0
873,Chris Paul,Okc,G,35.28,17.6,6.7,31.5,5.0,1.59,0.16,2019-2020,38506482.0
874,CJ McCollum,Por,G,28.9,22.2,4.4,36.5,4.3,0.77,0.6,2019-2020,27556959.0
875,Jarrett Allen,Bro,C,22.32,11.1,1.6,26.5,9.6,0.57,1.31,2019-2020,2376840.0
876,Devin Booker,Pho,G,23.79,26.6,6.5,35.9,4.2,0.69,0.26,2019-2020,27285000.0
877,Jonas Valanciunas,Mem,C,28.27,14.9,1.9,26.4,11.3,0.44,1.1,2019-2020,16000000.0
878,Anfernee Simons,Por,G,21.19,8.3,1.4,20.7,2.2,0.37,0.14,2019-2020,2149560.0
879,Kentavious Caldwell-Pope,Lal,G,27.49,9.3,1.6,25.5,2.1,0.84,0.2,2019-2020,8089282.0
880,Troy Brown Jr.,Was,G-F,21.05,10.4,2.6,25.8,5.6,1.22,0.1,2019-2020,3219480.0
881,Joe Harris,Bro,G-F,28.94,14.5,2.1,30.8,4.3,0.59,0.25,2019-2020,7666667.0
882,Semi Ojeleye,Bos,F,25.69,3.4,0.5,14.6,2.1,0.3,0.07,2019-2020,1618520.0
883,Donovan Mitchell,Uta,G,23.94,24.0,4.3,34.3,4.4,1.01,0.2,2019-2020,3635760.0
884,Dwight Howard,Lal,C-F,34.69,7.5,0.7,18.9,7.3,0.46,1.14,2019-2020,1620564.0
885,Doug McDermott,Ind,F,28.61,10.3,1.1,19.9,2.5,0.17,0.09,2019-2020,7333333.0
886,OG Anunoby,Tor,F,23.08,10.6,1.6,29.9,5.3,1.41,0.65,2019-2020,2281800.0
887,Terrence Ross,Orl,G-F,29.52,14.7,1.2,27.4,3.2,1.12,0.35,2019-2020,12500000.0
888,Grant Williams,Bos,F,21.71,3.4,1.0,15.1,2.6,0.43,0.52,2019-2020,2379840.0
889,Mike Scott,Phi,F,32.08,6.0,0.8,17.8,3.7,0.32,0.07,2019-2020,4767000.0
890,Austin Rivers,Hou,G,28.04,8.8,1.7,23.4,2.6,0.72,0.16,2019-2020,2147317.0
891,James Harden,Hou,G,30.97,34.3,7.5,36.5,6.5,1.84,0.88,2019-2020,38199000.0
892,Danny Green,Lal,G,33.15,8.0,1.3,24.8,3.3,1.24,0.46,2019-2020,14634146.0
893,Derrick White,San,G,26.12,11.3,3.5,24.7,3.3,0.66,0.85,2019-2020,1948080.0
894,JaVale McGee,Lal,C-F,32.57,6.6,0.5,16.6,5.8,0.53,1.37,2019-2020,4000000.0
895,Rudy Gobert,Uta,C,28.13,15.1,1.5,34.3,13.5,0.72,1.97,2019-2020,23241573.0
896,Ish Smith,Was,G,32.11,10.9,4.9,26.3,3.2,0.88,0.44,2019-2020,6000000.0
897,DeMar DeRozan,San,F,31.02,22.1,5.6,34.1,5.5,1.03,0.29,2019-2020,27739975.0
898,Brook Lopez,Mil,C,32.37,12.0,1.5,26.7,4.6,0.68,2.4,2019-2020,12093023.0
899,Kyle Anderson,Mem,G-F,26.9,5.8,2.4,19.8,4.3,0.78,0.55,2019-2020,9073050.0
900,Al Horford,Phi,C-F,34.2,11.9,4.0,30.2,6.8,0.81,0.91,2019-2020,28000000.0
901,T.J. Warren,Ind,F,26.94,19.8,1.5,32.9,4.2,1.16,0.51,2019-2020,10810000.0
902,LeBron James,Lal,F,35.62,25.3,10.2,34.6,7.8,1.16,0.54,2019-2020,37436858.0
903,Kendrick Nunn,Mia,G,25.03,15.3,3.3,29.3,2.7,0.84,0.22,2019-2020,1416852.0
904,Wesley Matthews,Mil,G,33.84,7.4,1.4,24.4,2.5,0.55,0.13,2019-2020,2564753.0
